log_id,employee_code,employee_name,department,method,action,device_id,device_name,check_time,location,gps_lat,gps_lng,confidence
"LOG-1-0001","EMP-2001","Nguyễn Văn A 1 (Test)","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","01/01/2026 07:16:59","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-1-0002","EMP-2004","Phạm Thị D 4","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","01/01/2026 07:24:05","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-1-0003","EMP-2007","Đặng Văn G 7","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","01/01/2026 07:24:15","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-1-0004","EMP-2003","Lê Văn C 3","Engineering","Ứng dụng Di động","Giờ vào","DEV-01","Điện thoại cá nhân","01/01/2026 07:29:24","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-1-0005","EMP-2011","Trịnh Văn L 11","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","01/01/2026 07:30:43","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-1-0006","EMP-2015","Dương Văn P 15","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","01/01/2026 07:44:11","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-1-0007","EMP-2012","Đỗ Thị M 12","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","01/01/2026 07:51:34","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-1-0008","EMP-2013","Hồ Văn N 13","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","01/01/2026 07:59:45","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-1-0009","EMP-2014","Huỳnh Thị O 14","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","01/01/2026 08:00:24","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-1-0010","EMP-2010","Lý Thị K 10","Engineering","Ứng dụng Di động","Giờ vào","DEV-01","Điện thoại cá nhân","01/01/2026 08:14:50","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-1-0011","EMP-2012","Đỗ Thị M 12","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","01/01/2026 17:20:24","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-1-0012","EMP-2004","Phạm Thị D 4","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","01/01/2026 17:44:15","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-1-0013","EMP-2015","Dương Văn P 15","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","01/01/2026 17:47:13","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-1-0014","EMP-2014","Huỳnh Thị O 14","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","01/01/2026 17:50:39","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-1-0015","EMP-2007","Đặng Văn G 7","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","01/01/2026 18:01:00","Văn phòng chính","10.7626","106.6601","0.98"
