log_id,employee_code,employee_name,department,method,action,device_id,device_name,check_time,location,gps_lat,gps_lng,confidence
"LOG-3-0001","EMP-2013","Hồ Văn N 13","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","01/03/2026 07:30:28","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0002","EMP-2010","Lý Thị K 10","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","01/03/2026 07:35:30","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0003","EMP-2013","Hồ Văn N 13","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","01/03/2026 17:43:14","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0004","EMP-2010","Lý Thị K 10","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","01/03/2026 18:39:24","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0005","EMP-2003","Lê Văn C 3","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","02/03/2026 07:17:28","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0006","EMP-2010","Lý Thị K 10","Engineering","Ứng dụng Di động","Giờ vào","DEV-01","Điện thoại cá nhân","02/03/2026 07:19:05","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0007","EMP-2013","Hồ Văn N 13","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","02/03/2026 07:26:20","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0008","EMP-2011","Trịnh Văn L 11","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","02/03/2026 07:27:15","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0009","EMP-2015","Dương Văn P 15","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","02/03/2026 07:32:00","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0010","EMP-2004","Phạm Thị D 4","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","02/03/2026 07:36:43","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0011","EMP-2008","Bùi Thị H 8","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","02/03/2026 07:38:48","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0012","EMP-2014","Huỳnh Thị O 14","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","02/03/2026 07:46:04","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0013","EMP-2007","Đặng Văn G 7","Engineering","Ứng dụng Di động","Giờ vào","DEV-01","Điện thoại cá nhân","02/03/2026 07:46:14","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0014","EMP-2012","Đỗ Thị M 12","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","02/03/2026 07:52:45","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0015","EMP-2001","Nguyễn Văn A 1 (Test)","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","02/03/2026 07:54:00","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0016","EMP-2002","Trần Thị B 2","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","02/03/2026 08:05:19","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0017","EMP-2010","Lý Thị K 10","Engineering","Ứng dụng Di động","Giờ ra","DEV-01","Điện thoại cá nhân","02/03/2026 17:15:35","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0018","EMP-2004","Phạm Thị D 4","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","02/03/2026 17:25:58","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0019","EMP-2014","Huỳnh Thị O 14","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","02/03/2026 17:30:57","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0020","EMP-2011","Trịnh Văn L 11","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","02/03/2026 17:32:43","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0021","EMP-2002","Trần Thị B 2","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","02/03/2026 17:56:54","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0022","EMP-2012","Đỗ Thị M 12","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","02/03/2026 17:58:27","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0023","EMP-2003","Lê Văn C 3","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","02/03/2026 18:07:52","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0024","EMP-2007","Đặng Văn G 7","Engineering","Ứng dụng Di động","Giờ ra","DEV-01","Điện thoại cá nhân","02/03/2026 18:10:48","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0025","EMP-2015","Dương Văn P 15","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","02/03/2026 18:19:57","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0026","EMP-2008","Bùi Thị H 8","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","02/03/2026 18:23:49","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0027","EMP-2013","Hồ Văn N 13","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","02/03/2026 18:25:13","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0028","EMP-2001","Nguyễn Văn A 1 (Test)","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","02/03/2026 18:31:19","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0029","EMP-2003","Lê Văn C 3","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","03/03/2026 07:16:42","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0030","EMP-2012","Đỗ Thị M 12","Engineering","Ứng dụng Di động","Giờ vào","DEV-01","Điện thoại cá nhân","03/03/2026 07:21:08","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0031","EMP-2015","Dương Văn P 15","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","03/03/2026 07:22:24","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0032","EMP-2013","Hồ Văn N 13","Engineering","Ứng dụng Di động","Giờ vào","DEV-01","Điện thoại cá nhân","03/03/2026 07:33:05","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0033","EMP-2002","Trần Thị B 2","Engineering","Ứng dụng Di động","Giờ vào","DEV-01","Điện thoại cá nhân","03/03/2026 07:35:39","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0034","EMP-2008","Bùi Thị H 8","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","03/03/2026 07:36:24","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0035","EMP-2014","Huỳnh Thị O 14","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","03/03/2026 07:37:34","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0036","EMP-2010","Lý Thị K 10","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","03/03/2026 07:39:03","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0037","EMP-2001","Nguyễn Văn A 1 (Test)","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","03/03/2026 07:50:50","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0038","EMP-2011","Trịnh Văn L 11","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","03/03/2026 07:57:16","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0039","EMP-2007","Đặng Văn G 7","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","03/03/2026 08:03:25","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0040","EMP-2004","Phạm Thị D 4","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","03/03/2026 08:06:42","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0041","EMP-2004","Phạm Thị D 4","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","03/03/2026 17:09:26","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0042","EMP-2014","Huỳnh Thị O 14","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","03/03/2026 17:10:24","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0043","EMP-2007","Đặng Văn G 7","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","03/03/2026 17:16:36","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0044","EMP-2011","Trịnh Văn L 11","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","03/03/2026 17:18:14","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0045","EMP-2001","Nguyễn Văn A 1 (Test)","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","03/03/2026 17:22:13","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0046","EMP-2015","Dương Văn P 15","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","03/03/2026 17:31:15","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0047","EMP-2003","Lê Văn C 3","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","03/03/2026 17:36:43","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0048","EMP-2012","Đỗ Thị M 12","Engineering","Ứng dụng Di động","Giờ ra","DEV-01","Điện thoại cá nhân","03/03/2026 17:53:31","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0049","EMP-2010","Lý Thị K 10","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","03/03/2026 17:54:36","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0050","EMP-2002","Trần Thị B 2","Engineering","Ứng dụng Di động","Giờ ra","DEV-01","Điện thoại cá nhân","03/03/2026 18:29:34","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0051","EMP-2008","Bùi Thị H 8","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","03/03/2026 18:46:12","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0052","EMP-2013","Hồ Văn N 13","Engineering","Ứng dụng Di động","Giờ ra","DEV-01","Điện thoại cá nhân","03/03/2026 18:48:43","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0053","EMP-2008","Bùi Thị H 8","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","04/03/2026 07:36:25","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0054","EMP-2013","Hồ Văn N 13","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","04/03/2026 07:36:56","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0055","EMP-2003","Lê Văn C 3","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","04/03/2026 07:38:37","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0056","EMP-2012","Đỗ Thị M 12","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","04/03/2026 07:44:43","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0057","EMP-2010","Lý Thị K 10","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","04/03/2026 07:45:36","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0058","EMP-2014","Huỳnh Thị O 14","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","04/03/2026 07:48:53","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0059","EMP-2004","Phạm Thị D 4","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","04/03/2026 07:51:22","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0060","EMP-2015","Dương Văn P 15","Engineering","Ứng dụng Di động","Giờ vào","DEV-01","Điện thoại cá nhân","04/03/2026 07:56:14","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0061","EMP-2001","Nguyễn Văn A 1 (Test)","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","04/03/2026 08:00:41","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0062","EMP-2007","Đặng Văn G 7","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","04/03/2026 08:02:47","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0063","EMP-2002","Trần Thị B 2","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","04/03/2026 08:03:57","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0064","EMP-2011","Trịnh Văn L 11","Engineering","Ứng dụng Di động","Giờ vào","DEV-01","Điện thoại cá nhân","04/03/2026 08:08:37","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0065","EMP-2013","Hồ Văn N 13","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","04/03/2026 17:11:01","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0066","EMP-2004","Phạm Thị D 4","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","04/03/2026 17:24:30","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0067","EMP-2015","Dương Văn P 15","Engineering","Ứng dụng Di động","Giờ ra","DEV-01","Điện thoại cá nhân","04/03/2026 17:27:32","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0068","EMP-2002","Trần Thị B 2","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","04/03/2026 17:42:34","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0069","EMP-2012","Đỗ Thị M 12","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","04/03/2026 17:52:09","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0070","EMP-2014","Huỳnh Thị O 14","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","04/03/2026 18:06:13","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0071","EMP-2001","Nguyễn Văn A 1 (Test)","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","04/03/2026 18:10:04","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0072","EMP-2007","Đặng Văn G 7","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","04/03/2026 18:11:29","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0073","EMP-2011","Trịnh Văn L 11","Engineering","Ứng dụng Di động","Giờ ra","DEV-01","Điện thoại cá nhân","04/03/2026 18:12:17","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0074","EMP-2003","Lê Văn C 3","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","04/03/2026 18:35:26","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0075","EMP-2010","Lý Thị K 10","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","04/03/2026 18:55:18","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0076","EMP-2008","Bùi Thị H 8","Engineering","Nhận diện Khuôn mặt","Giờ ra","DEV-01","Máy quét cổng chính","04/03/2026 18:56:26","Văn phòng chính","10.7626","106.6601","0.98"
"LOG-3-0077","EMP-2010","Lý Thị K 10","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","05/03/2026 07:18:22","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0078","EMP-2012","Đỗ Thị M 12","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","05/03/2026 07:20:13","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0079","EMP-2013","Hồ Văn N 13","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","05/03/2026 07:23:03","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0080","EMP-2014","Huỳnh Thị O 14","Engineering","Ứng dụng Di động","Giờ vào","DEV-01","Điện thoại cá nhân","05/03/2026 07:26:10","Văn phòng chính","10.7626","106.6601","0.99"
"LOG-3-0081","EMP-2001","Nguyễn Văn A 1 (Test)","Engineering","Nhận diện Khuôn mặt","Giờ vào","DEV-01","Máy quét cổng chính","05/03/2026 07:27:27","Văn phòng chính","10.7626","106.6601","0.99"
