log_id,employee_code,employee_name,method,action,device_id,device_name,check_time,location
L1,NS-001,Nguyß╗àn Thß╗ï Mai,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:14:00,HCM
L2,IT-001,L├¬ V─ân Tuß║Ñn,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:02:00,HCM
L3,IT-001,L├¬ V─ân Tuß║Ñn,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 16:17:00,HCM
L4,IT-002,Trß║ºn Thanh B├¼nh,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:54:00,HCM
L5,IT-002,Trß║ºn Thanh B├¼nh,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:09:00,HCM
L6,IT-003,Ho├áng Thu Ph╞░╞íng,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:01:00,HCM
L7,IT-003,Ho├áng Thu Ph╞░╞íng,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:02:00,HCM
L8,EMP-2002,Nguyß╗àn V─ân 2,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:01:00,HCM
L9,EMP-2002,Nguyß╗àn V─ân 2,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:03:00,HCM
L10,EMP-2003,NGUYß╗äN V─éN 3,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:55:00,HCM
L11,EMP-2003,NGUYß╗äN V─éN 3,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:07:00,HCM
L12,EMP-2004,Nguyß╗àn V─ân 4,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:23:00,HCM
L13,EMP-2004,Nguyß╗àn V─ân 4,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:12:00,HCM
L14,EMP-2005,Nguyß╗àn V─ân 5,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:59:00,HCM
L15,EMP-2005,Nguyß╗àn V─ân 5,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:05:00,HCM
L16,EMP-2006,Nguyß╗àn V─ân 6,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:00:00,HCM
L17,EMP-2006,Nguyß╗àn V─ân 6,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:04:00,HCM
L18,EMP-2007,Nguyß╗àn V─ân 7,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:54:00,HCM
L19,EMP-2007,Nguyß╗àn V─ân 7,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:03:00,HCM
L20,EMP-2008,Nguyß╗àn V─ân 8,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:03:00,HCM
L21,EMP-2009,Nguyß╗àn V─ân 9,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:55:00,HCM
L22,EMP-2009,Nguyß╗àn V─ân 9,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:08:00,HCM
L23,EMP-2010,Nguyß╗àn V─ân 10,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:02:00,HCM
L24,EMP-2010,Nguyß╗àn V─ân 10,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:11:00,HCM
L25,EMP-2011,Nguyß╗àn V─ân 11,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:02:00,HCM
L26,EMP-2011,Nguyß╗àn V─ân 11,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:11:00,HCM
L27,EMP-2012,Nguyß╗àn V─ân 12,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:27:00,HCM
L28,EMP-2012,Nguyß╗àn V─ân 12,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:08:00,HCM
L29,EMP-2013,Nguyß╗àn V─ân 13,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:51:00,HCM
L30,EMP-2014,Nguyß╗àn V─ân 14,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:58:00,HCM
L31,EMP-2014,Nguyß╗àn V─ân 14,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:04:00,HCM
L32,EMP-2015,Nguyß╗àn V─ân 15,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:59:00,HCM
L33,EMP-2015,Nguyß╗àn V─ân 15,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:13:00,HCM
L34,EMP-2016,Nguyß╗àn V─ân 16,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:52:00,HCM
L35,EMP-2016,Nguyß╗àn V─ân 16,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:08:00,HCM
L36,EMP-2017,Nguyß╗àn V─ân 17,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:00:00,HCM
L37,EMP-2018,Nguyß╗àn V─ân 18,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:51:00,HCM
L38,EMP-2018,Nguyß╗àn V─ân 18,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:10:00,HCM
L39,EMP-2019,Nguyß╗àn V─ân 19,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:04:00,HCM
L40,EMP-2019,Nguyß╗àn V─ân 19,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:13:00,HCM
L41,EMP-2020,Nguyß╗àn V─ân 20,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:13:00,HCM
L42,EMP-2022,Nguyß╗àn V─ân 22,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:55:00,HCM
L43,EMP-2022,Nguyß╗àn V─ân 22,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:10:00,HCM
L44,EMP-2023,Nguyß╗àn V─ân 23,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:51:00,HCM
L45,EMP-2023,Nguyß╗àn V─ân 23,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:12:00,HCM
L46,EMP-2024,Nguyß╗àn V─ân 24,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 07:53:00,HCM
L47,EMP-2024,Nguyß╗àn V─ân 24,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 16:44:00,HCM
L48,EMP-2025,Nguyß╗àn V─ân 25,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:02:00,HCM
L49,EMP-2025,Nguyß╗àn V─ân 25,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:11:00,HCM
L50,EMP-2026,Nguyß╗àn V─ân 26,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:52:00,HCM
L51,EMP-2026,Nguyß╗àn V─ân 26,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:01:00,HCM
L52,EMP-2027,Nguyß╗àn V─ân 27,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:02:00,HCM
L53,EMP-2027,Nguyß╗àn V─ân 27,Fingerprint,CheckOut,D01,Main Gate,2026-01-01 17:06:00,HCM
L54,EMP-2028,Nguyß╗àn V─ân 28,Fingerprint,CheckIn,D01,Main Gate,2026-01-01 08:03:00,HCM
